time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-12-31T11:32:14.735Z,44.3104,-115.1706,4.84,3.1,ml,,55,0.175,1.33,us,us6000d4j8,2020-12-31T16:43:29.915Z,"21 km WNW of Stanley, Idaho",earthquake,2.1,6.3,0.051,50,reviewed,us,us
2020-12-31T09:44:58.030Z,37.9643326,-122.3426666,4.71,2.62,md,59,33,0.0258,0.1,nc,nc73505115,2021-01-03T15:28:00.409Z,"0km NE of San Pablo, CA",earthquake,0.16,0.33,0.12,60,automatic,nc,nc
2020-12-31T07:45:08.633Z,37.5353,-115.311,10.5,2.5,ml,9,107.55,0.243,0.1234,nn,nn00795433,2021-01-01T02:31:02.266Z,"10 km SW of Hiko, Nevada",earthquake,,2.7,0.23,4,reviewed,nn,nn
2020-12-31T04:22:03.380Z,38.8388333,-122.8231667,2.27,3.63,mw,86,36,0.009625,0.05,nc,nc73504795,2021-01-05T00:34:04.205Z,"9km WNW of Cobb, CA",earthquake,0.1,0.13,,5,reviewed,nc,nc
2020-12-30T17:45:57.540Z,37.9055,-118.5513333,2.34,2.65,md,38,62,0.1968,0.06,nc,nc73504600,2020-12-31T15:22:04.570Z,"40km NNE of Toms Place, CA",earthquake,0.23,2.9,0.212,37,reviewed,nc,nc
2020-12-30T17:31:56.240Z,47.3335,-121.988333333333,20.11,3.21,ml,66,50,0.03742,0.22,uw,uw61707531,2021-01-01T17:09:53.544Z,"2 km S of Ravensdale, Washington",earthquake,0.26,0.47,0.255615035743022,35,reviewed,uw,uw
2020-12-30T14:58:55.810Z,32.7913333,-115.4548333,2.44,2.5,ml,20,93,0.3991,0.24,ci,ci39507071,2021-01-04T18:17:12.828Z,"7km WSW of Holtville, CA",earthquake,0.55,2.76,0.18,27,automatic,ci,ci
2020-12-30T11:04:44.294Z,37.705,-97.2448,5,3.8,mb_lg,,124,0.637,0.26,us,us6000d4be,2021-01-04T06:55:05.348Z,"2 km NE of Eastborough, Kansas",earthquake,1.8,1.9,0.039,170,reviewed,us,us
2020-12-30T08:44:48.980Z,36.6036682,-121.2054977,5.45,2.73,md,46,66,0.08814,0.1,nc,nc73504435,2020-12-30T18:09:07.430Z,"10km NW of Pinnacles, CA",earthquake,0.2,1.02,0.17,52,automatic,nc,nc
2020-12-30T08:30:22.090Z,36.6051674,-121.2071686,6.4,3.19,ml,53,67,0.08668,0.13,nc,nc73504420,2020-12-30T21:36:15.155Z,"10km NW of Pinnacles, CA",earthquake,0.21,0.95,0.217,18,automatic,nc,nc
2020-12-30T04:26:30.420Z,37.3569984,-122.1374969,5.6,2.82,md,72,48,0.0403,0.12,nc,nc73504360,2021-01-04T05:28:10.959Z,"2km S of Los Altos Hills, CA",earthquake,0.15,0.33,0.1,99,automatic,nc,nc
2020-12-30T00:14:51.000Z,36.607666,-121.2095032,5.63,2.81,md,43,66,0.08468,0.1,nc,nc73504280,2020-12-30T08:50:48.199Z,"10km NW of Pinnacles, CA",earthquake,0.21,1.03,0.14,45,automatic,nc,nc
2020-12-30T00:14:35.140Z,38.786335,-122.7685013,1.37,2.75,md,56,57,0.01574,0.06,nc,nc73504275,2020-12-30T20:08:02.462Z,"2km NW of The Geysers, CA",earthquake,0.13,0.22,0.14,48,automatic,nc,nc
2020-12-29T19:16:42.740Z,49.914,-114.7303333,-2,2.63,ml,7,297,2.065,0.47,mb,mb80481664,2020-12-29T23:47:54.570Z,"18 km SE of Elkford, Canada",quarry blast,21.62,31.61,0.407,3,reviewed,mb,mb
2020-12-29T14:36:34.760Z,47.6635,-121.825166666667,19.55,2.98,ml,47,97,0.09676,0.29,uw,uw61707366,2021-01-04T15:50:11.430Z,"6 km ENE of Carnation, Washington",earthquake,0.48,0.65,0.197042563886886,25,reviewed,uw,uw
2020-12-29T02:39:20.070Z,40.8134995,-123.3243332,19.34,2.56,md,25,57,0.1728,0.33,nc,nc73504005,2020-12-29T04:13:04.665Z,"29km ESE of Willow Creek, CA",earthquake,0.86,1.07,0.17,14,automatic,nc,nc
2020-12-28T22:23:39.076Z,44.2136,-115.1476,10,2.9,ml,,71,0.126,0.64,us,us6000d3tm,2020-12-31T06:06:45.924Z,"16 km W of Stanley, Idaho",earthquake,1.9,2,0.037,94,reviewed,us,us
2020-12-28T15:29:24.600Z,32.3198333,-115.1271667,17.07,2.65,ml,13,264,0.1803,0.21,ci,ci39505975,2020-12-28T15:33:13.202Z,"4km NNW of Guadalupe Victoria, B.C., MX",earthquake,2.04,1.65,0.187,27,automatic,ci,ci
2020-12-28T15:29:08.635Z,31.3713,-114.7775,8,4.3658,mw,5,,,,ew,ew1609169348,2020-12-29T18:20:39.118Z,"38 km N of San Felipe, Mexico",earthquake,15.714,5,0.3366,5,automatic,ew,ew
2020-12-28T14:41:34.390Z,32.3186667,-115.1211667,16.65,2.52,ml,13,269,0.1852,0.24,ci,ci39505903,2020-12-28T14:45:33.916Z,"4km NNW of Guadalupe Victoria, B.C., MX",earthquake,3.07,1.99,0.177,26,automatic,ci,ci
2020-12-28T14:36:31.090Z,32.3741667,-115.1571667,19.77,2.92,ml,23,218,0.133,0.35,ci,ci39505895,2021-01-04T16:40:55.297Z,"4km ENE of Delta, B.C., MX",earthquake,1.15,0.92,0.257,13,reviewed,ci,ci
2020-12-28T14:34:53.600Z,32.4385,-115.1648333,27.81,3.37,ml,28,91,0.12,0.33,ci,ci39505887,2021-01-04T15:53:07.548Z,"10km NNE of Delta, B.C., MX",earthquake,0.58,0.82,0.277,37,reviewed,ci,ci
2020-12-28T14:19:50.178Z,47.6094,-70.2532,12.89,2.7,mb_lg,,77,0.078,0.33,us,us6000d48n,2021-01-04T12:28:48.966Z,"9 km WSW of La Malbaie, Canada",earthquake,3.5,3.1,0.12,18,reviewed,us,us
2020-12-28T11:09:04.516Z,44.5346,-115.1877,11.83,2.6,ml,,51,0.361,0.46,us,us6000d3mz,2021-01-04T06:22:34.384Z,"40 km NNW of Stanley, Idaho",earthquake,2.3,9.9,0.062,34,reviewed,us,us
2020-12-28T10:41:34.670Z,47.8131666666667,-121.966666666667,26.14,2.89,ml,24,91,0.08908,0.38,uw,uw61707171,2021-01-03T12:03:11.595Z,"4 km S of Monroe, Washington",earthquake,0.88,1.18,0.205562956908904,15,reviewed,uw,uw
2020-12-28T10:19:50.721Z,37.7078,-97.2295,5.14,2.5,mb_lg,,98,0.646,0.34,us,us6000d3ms,2020-12-30T23:44:57.153Z,"3 km NE of Eastborough, Kansas",earthquake,1.7,6.9,0.089,33,reviewed,us,us
2020-12-28T04:17:44.594Z,38.9776,-99.0286,5,2.6,mb_lg,,64,0.576,0.54,us,us6000d4a9,2020-12-31T23:09:12.040Z,"10 km N of Gorham, Kansas",earthquake,3.7,2,0.104,24,reviewed,us,us
2020-12-28T02:13:44.070Z,37.5191667,-118.8768333,4.92,2.66,md,35,65,0.08026,0.04,nc,nc73503625,2021-01-05T18:07:50.214Z,"16km SE of Mammoth Lakes, CA",earthquake,0.21,0.72,0.203,43,reviewed,nc,nc
2020-12-27T19:05:47.530Z,36.8441667,-121.5748333,3.98,3.19,ml,89,26,0.04484,0.19,nc,nc73503535,2021-01-02T15:16:27.953Z,"3km W of San Juan Bautista, CA",earthquake,0.16,0.37,0.139,62,reviewed,nc,nc
2020-12-27T19:01:52.036Z,31.6393,-104.2044,5,2.5,ml,,55,0.157,0.46,us,us6000d3hc,2020-12-27T21:58:55.709Z,"53 km NW of Toyah, Texas",earthquake,0.8,1.5,0.056,42,reviewed,us,us
2020-12-27T14:44:40.090Z,39.5058333,-122.0176667,26.35,3.82,mw,31,37,0.2559,0.16,nc,nc73503450,2021-01-02T18:33:50.427Z,"15km E of Willows, CA",earthquake,0.31,1.06,,4,reviewed,nc,nc
2020-12-27T10:17:34.518Z,35.4804,-112.3764,13.03,2.7,ml,,59,0.267,0.5,us,us6000d3et,2020-12-27T17:58:27.064Z,"28 km SW of Valle, Arizona",earthquake,1.6,7.5,0.044,68,reviewed,us,us
2020-12-27T07:36:17.645Z,38.1485,-117.8781,9.4,2.6,ml,31,45.23,0.01,0.1219,nn,nn00794908,2020-12-27T18:50:38.340Z,"33 km SE of Mina, Nevada",earthquake,,0.5,0.16,14,reviewed,nn,nn
2020-12-27T05:50:31.260Z,38.0408333,-118.7363333,4.62,3.45,ml,55,72,0.2783,0.06,nc,nc73503305,2020-12-31T14:26:08.227Z,"31km SE of Bodie, CA",earthquake,0.2,5.62,0.299,28,reviewed,nc,nc
2020-12-27T04:37:33.061Z,37.1333,-116.3043,9.5,2.5,ml,41,55.8,0.033,0.1554,nn,nn00794869,2020-12-27T19:18:42.528Z,"47 km ENE of Beatty, Nevada",earthquake,,0.5,0.44,23,reviewed,nn,nn
2020-12-27T04:17:10.681Z,37.5355,-117.7351,11.3,3.4,ml,30,56.16,0.311,0.1428,nn,nn00794857,2021-01-05T08:14:05.920Z,"25 km SSW of Silver Peak, Nevada",earthquake,,0.7,0.26,14,reviewed,nn,nn
2020-12-27T04:05:37.240Z,35.4886667,-118.2883333,2.7,3.5,ml,61,27,0.1299,0.15,ci,ci39505103,2021-01-04T15:55:31.680Z,"22km ESE of Bodfish, CA",earthquake,0.13,0.54,0.146,132,reviewed,ci,ci
2020-12-26T22:57:42.054Z,38.1305,-118.0066,1.8,2.5,ml,23,77.61,0.038,0.0924,nn,nn00794835,2020-12-28T17:38:42.897Z,"30 km SSE of Mina, Nevada",earthquake,,0.6,0.34,10,reviewed,nn,nn
2020-12-26T22:07:31.000Z,38.0294991,-121.980835,6.67,2.74,md,30,127,0.02788,0.15,nc,nc73503145,2020-12-29T20:06:13.739Z,"2km W of Bay Point, CA",earthquake,0.3,0.81,0.14,31,automatic,nc,nc
2020-12-26T20:27:46.601Z,38.1512,-118.0883,7.6,2.8,ml,27,77.75,0.03,0.1466,nn,nn00794812,2020-12-28T17:26:53.374Z,"26 km S of Mina, Nevada",earthquake,,1,0.24,13,reviewed,nn,nn
2020-12-26T10:57:57.450Z,37.2863333,-121.6583333,6.35,2.58,md,101,31,0.05662,0.07,nc,nc73503020,2021-01-02T05:36:59.260Z,"16km E of Seven Trees, CA",earthquake,0.09,0.2,0.148,118,reviewed,nc,nc
2020-12-26T08:47:00.670Z,37.6375,-118.8855,3.21,2.64,md,29,85,0.01133,0.03,nc,nc73502965,2021-01-01T23:39:06.679Z,"8km E of Mammoth Lakes, CA",earthquake,0.24,0.35,0.202,44,reviewed,nc,nc
2020-12-26T05:54:55.850Z,39.2513333,-120.1753333,-2.3,3,ml,15,57,0.1386,0.13,nc,nc73502910,2020-12-30T12:18:06.957Z,"9km S of Truckee, CA",earthquake,0.3,1.2,0.119,8,reviewed,nc,nc
2020-12-25T21:27:08.330Z,33.9253333,-116.7676667,18.78,2.7,ml,83,25,0.01789,0.18,ci,ci39504151,2020-12-25T21:38:29.970Z,"2km ENE of Cabazon, CA",earthquake,0.17,0.3,0.245,26,automatic,ci,ci
2020-12-25T20:25:59.070Z,33.7473333,-115.9211667,3.68,3.64,mw,86,42,0.08094,0.18,ci,ci39504023,2021-01-04T15:18:36.747Z,"23km ENE of Thermal, CA",earthquake,0.14,0.41,,4,reviewed,ci,ci
2020-12-25T16:42:04.550Z,33.8508333,-117.8598333,4.41,2.74,ml,94,21,0.05615,0.27,ci,ci39503855,2020-12-28T06:21:14.211Z,"3km SSE of Placentia, CA",earthquake,0.23,0.77,0.142,25,reviewed,ci,ci
2020-12-25T15:22:04.510Z,33.6498333,-116.7271667,15.32,2.57,ml,88,18,0.06213,0.18,ci,ci39503791,2020-12-26T04:29:15.222Z,"10km S of Idyllwild, CA",earthquake,0.16,0.34,0.211,26,reviewed,ci,ci
2020-12-25T11:55:34.180Z,40.2606667,-124.4058333,20.03,2.91,md,25,230,0.05578,0.18,nc,nc73502605,2021-01-05T07:02:04.498Z,"12km SW of Petrolia, CA",earthquake,0.58,0.42,0.135,60,reviewed,nc,nc
2020-12-25T10:48:47.130Z,38.7976667,-122.766,1.27,2.78,md,81,48,0.005733,0.06,nc,nc73502585,2021-01-01T07:27:09.128Z,"2km NNW of The Geysers, CA",earthquake,0.09,0.16,0.226,64,reviewed,nc,nc
2020-12-24T18:36:57.567Z,44.2662,-115.0619,10,2.8,ml,,67,0.087,0.8,us,us6000d2n3,2020-12-25T15:55:29.040Z,"11 km WNW of Stanley, Idaho",earthquake,1.7,1.9,0.048,58,reviewed,us,us
2020-12-24T15:44:27.891Z,36.3562,-111.5593,5,2.5,ml,,59,0.595,0.44,us,us6000d2kz,2020-12-24T19:39:23.040Z,"31 km SSE of Bitter Springs, Arizona",earthquake,2.5,1.9,0.042,75,reviewed,us,us
2020-12-24T10:53:52.848Z,31.6665,-104.3721,5,2.6,ml,,60,0.109,0.65,us,us6000d2j4,2020-12-24T11:10:43.040Z,"56 km S of Whites City, New Mexico",earthquake,0.7,1.7,0.053,46,reviewed,us,us
2020-12-24T00:22:04.800Z,36.844,-121.5741667,3.71,2.74,md,69,26,0.04473,0.17,nc,nc73502035,2021-01-04T04:52:11.040Z,"3km W of San Juan Bautista, CA",earthquake,0.19,0.43,0.212,84,reviewed,nc,nc
2020-12-23T23:00:59.264Z,40.5452,-117.2265,5.8,3.8,ml,8,157.9,0.114,0.0999,nn,nn00794362,2020-12-24T23:03:15.191Z,"26 km WSW of Battle Mountain, Nevada",earthquake,,3.5,1.01,7,reviewed,nn,nn
2020-12-23T22:22:19.690Z,32.3358333,-115.3795,15.2,3.34,ml,46,86,0.1046,0.34,ci,ci39502175,2020-12-24T00:02:52.636Z,"18km W of Delta, B.C., MX",earthquake,0.41,0.73,0.212,166,reviewed,ci,ci
2020-12-23T21:28:14.519Z,36.53433333,-98.98366667,6.97,3.11,ml,101,53,0,0.16,ok,ok2020zdwy,2020-12-25T01:27:45.562Z,"10 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.23,28,reviewed,ok,ok
2020-12-23T18:38:47.163Z,31.6255,-104.1719,5,2.5,ml,,61,0.33,0.84,us,us6000d29y,2020-12-30T15:19:50.040Z,"49 km NW of Toyah, Texas",earthquake,1.6,2,0.064,32,reviewed,us,us
2020-12-23T14:32:29.053Z,31.9878,-102.3333,2.42,2.7,mb_lg,,39,0.034,0.42,us,us6000d28h,2020-12-25T05:20:09.669Z,"5 km SE of Gardendale, Texas",earthquake,1.4,4.8,0.132,16,reviewed,us,us
2020-12-23T12:52:49.480Z,35.607,-117.464,6.48,2.73,ml,39,66,0.1152,0.14,ci,ci39501911,2020-12-25T01:25:42.414Z,"19km SSW of Searles Valley, CA",earthquake,0.17,0.6,0.155,165,reviewed,ci,ci
2020-12-23T10:57:39.276Z,32.2286,-104.5276,5,2.6,ml,,105,0.141,0.35,us,us6000d265,2020-12-23T11:07:30.040Z,"15 km WNW of Whites City, New Mexico",earthquake,2,5.3,0.06,36,reviewed,us,us
2020-12-23T00:04:57.599Z,36.8989,-104.8279,5,3.1,ml,,92,0.1,0.31,us,us6000d21t,2020-12-31T22:51:59.252Z,"25 km SSW of Segundo, Colorado",earthquake,1.4,1.9,0.048,84,reviewed,us,us
2020-12-22T16:37:28.468Z,38.1449,-118.1047,1.2,2.6,ml,23,52.21,0.044,0.1093,nn,nn00794212,2021-01-04T21:53:19.040Z,"27 km S of Mina, Nevada",earthquake,,1.1,0.36,10,reviewed,nn,nn
2020-12-22T16:33:19.718Z,44.3584,-115.1837,10,2.5,ml,,72,0.214,0.38,us,us6000d1xl,2021-01-04T21:27:04.040Z,"25 km NW of Stanley, Idaho",earthquake,1.4,2,0.077,22,reviewed,us,us
2020-12-22T12:26:28.980Z,37.5106667,-118.9393333,6.94,2.89,md,35,57,0.1031,0.05,nc,nc73501535,2020-12-31T06:49:05.290Z,"14km SSE of Mammoth Lakes, CA",earthquake,0.19,0.7,0.143,55,reviewed,nc,nc
2020-12-22T07:38:15.460Z,34.4573333,-117.9221667,7.83,2.76,ml,172,15,0.02872,0.22,ci,ci39500703,2020-12-29T07:36:45.040Z,"6km SSW of Pearblossom, CA",earthquake,0.11,0.34,0.187,261,reviewed,ci,ci
2020-12-22T06:12:53.050Z,37.4785,-118.773,13.27,2.85,md,35,61,0.09232,0.03,nc,nc73501420,2020-12-31T11:10:07.048Z,"12km SW of Toms Place, CA",earthquake,0.24,0.64,0.208,58,reviewed,nc,nc
2020-12-22T06:12:49.710Z,44.3037,-115.1949,12.33,2.5,ml,,65,0.186,0.41,us,us6000d1tl,2020-12-23T05:19:27.794Z,"southern Idaho",earthquake,2.1,7.7,0.06,36,reviewed,us,us
2020-12-22T00:30:00.240Z,32.3371667,-115.3908333,15.21,4.03,mw,54,76,0.1096,0.32,ci,ci39500455,2021-01-01T03:37:05.608Z,"19km W of Delta, B.C., MX",earthquake,0.41,0.68,,6,reviewed,ci,ci
2020-12-21T21:04:49.136Z,44.2894,-115.1597,10,2.7,ml,,66,0.157,0.74,us,us6000d1r8,2020-12-31T04:08:50.743Z,"19 km WNW of Stanley, Idaho",earthquake,1.9,2,0.048,56,reviewed,us,us
2020-12-21T16:38:39.240Z,32.3343333,-115.3856667,14.78,2.54,ml,29,76,0.109,0.32,ci,ci39499863,2020-12-21T17:46:32.040Z,"18km W of Delta, B.C., MX",earthquake,0.56,1.04,0.196,68,reviewed,ci,ci
2020-12-21T02:45:58.882Z,44.3191,-115.2923,10,2.8,ml,,64,0.255,0.74,us,us7000csth,2020-12-31T04:17:55.868Z,"30 km WNW of Stanley, Idaho",earthquake,2.3,2,0.048,56,reviewed,us,us
2020-12-20T23:18:42.840Z,36.7328333,-119.8003333,27.47,2.63,ml,17,70,0.1066,0.17,nc,nc73500900,2020-12-29T13:24:05.705Z,"5km ENE of West Park, CA",earthquake,0.5,0.87,0.153,24,reviewed,nc,nc
2020-12-20T22:38:49.720Z,37.3018,-97.4761,1.02,2.7,ml,,88,0.27,0.33,us,us7000cssi,2020-12-22T01:28:22.510Z,"7 km NE of Mayfield, Kansas",earthquake,1.6,5.7,0.064,32,reviewed,us,us
2020-12-20T22:24:16.793Z,39.5776,-119.0761,6.2,2.5,ml,17,98.56,0.273,0.12,nn,nn00793883,2020-12-21T18:59:16.562Z,"15 km ESE of Fernley, Nevada",earthquake,,3.2,0.24,7,reviewed,nn,nn
2020-12-20T18:41:43.267Z,38.1539,-118.1021,5.4,2.7,ml,26,72.69,0.04,0.1131,nn,nn00793828,2020-12-21T18:15:35.308Z,"26 km S of Mina, Nevada",earthquake,,1.1,0.36,12,reviewed,nn,nn
2020-12-20T10:26:54.771Z,38.1856,-117.8822,7.6,2.9,ml,27,38.83,0.025,0.1264,nn,nn00793757,2020-12-31T06:40:54.040Z,"30 km SE of Mina, Nevada",earthquake,,0.8,0.16,13,reviewed,nn,nn
2020-12-20T08:20:04.672Z,37.7215,-97.2205,5,2.6,mb_lg,,126,0.669,0.17,us,us7000csmw,2020-12-30T15:53:06.383Z,"5 km NE of Eastborough, Kansas",earthquake,1.9,1.5,0.065,61,reviewed,us,us
2020-12-20T04:35:14.020Z,47.3296666666667,-121.986833333333,19.85,2.77,ml,72,40,0.03757,0.23,uw,uw61706216,2020-12-21T22:50:20.966Z,"2 km S of Ravensdale, Washington",earthquake,0.23,0.42,0.236513674006261,38,reviewed,uw,uw
2020-12-20T02:39:43.020Z,37.7066,-97.244,5,2.9,mb_lg,,98,0.637,0.31,us,us7000cskn,2020-12-30T11:16:42.497Z,"2 km NE of Eastborough, Kansas",earthquake,1.9,1.9,0.048,115,reviewed,us,us
2020-12-20T02:11:06.190Z,38.2731667,-108.9293333,0.02,4.32,ml,22,83,0.05148,0.13,uu,uu60422367,2020-12-23T05:43:15.867Z,"28 km E of La Sal, Utah",earthquake,0.26,0.88,0.185,14,reviewed,uu,uu
2020-12-20T01:53:43.060Z,38.2766667,-108.922,0.75,3.31,ml,20,83,0.04473,0.11,uu,uu60422357,2020-12-21T14:14:15.777Z,"28 km E of La Sal, Utah",earthquake,0.23,0.46,0.165,14,reviewed,uu,uu
2020-12-19T19:18:18.214Z,37.7145,-97.2365,7.82,2.5,mb_lg,,48,0.66,0.24,us,us7000csht,2020-12-30T05:41:32.757Z,"3 km NE of Eastborough, Kansas",earthquake,1.6,7.1,0.081,40,reviewed,us,us
2020-12-19T18:52:23.789Z,37.7269,-97.2135,5.98,3.4,mb_lg,,126,0.671,0.3,us,us7000cshp,2021-01-01T08:14:49.390Z,"6 km SE of Bellaire, Kansas",earthquake,2.1,6.5,0.044,137,reviewed,us,us
2020-12-19T18:47:54.519Z,37.7145,-97.2215,2.17,3.5,mb_lg,,63,0.648,0.3,us,us7000cshm,2021-01-05T02:10:04.067Z,"4 km NE of Eastborough, Kansas",earthquake,1.7,5.3,0.04,163,reviewed,us,us
2020-12-19T18:40:46.343Z,37.6988,-97.2305,5,2.7,mb_lg,,64,0.65,1.08,us,us7000cshl,2020-12-20T12:28:05.833Z,"3 km ENE of Eastborough, Kansas",earthquake,1.8,1.9,0.066,60,reviewed,us,us
2020-12-19T18:40:10.630Z,36.1935,-120.7705,7.73,2.9,ml,76,73,0.03345,0.11,nc,nc73500430,2020-12-30T01:11:06.619Z,"23km NNE of San Ardo, CA",earthquake,0.25,0.32,0.151,44,reviewed,nc,nc
2020-12-19T17:45:54.652Z,38.1577,-118.0977,4.8,2.6,ml,26,77.43,0.036,0.1383,nn,nn00793590,2020-12-19T20:07:18.040Z,"25 km S of Mina, Nevada",earthquake,,1.2,0.38,12,reviewed,nn,nn
2020-12-19T17:43:19.155Z,38.1563,-118.1007,4.8,3,ml,26,48.57,0.039,0.121,nn,nn00793585,2020-12-19T19:59:46.040Z,"26 km S of Mina, Nevada",earthquake,,1.1,0.42,12,reviewed,nn,nn
2020-12-19T17:42:04.554Z,37.6985,-97.2458,1.88,2.6,mb_lg,,77,0.64,0.49,us,us7000csh0,2020-12-30T12:03:03.680Z,"1 km NE of Eastborough, Kansas",earthquake,0.8,5,0.078,43,reviewed,us,us
2020-12-19T10:01:02.137Z,45.5848,-112.5037,16.56,2.8,ml,,87,0.231,0.37,us,us7000csef,2020-12-19T15:37:39.180Z,"14 km WNW of Twin Bridges, Montana",earthquake,2.1,8.7,0.05,52,reviewed,us,us
2020-12-19T07:38:03.158Z,38.1652,-117.8593,7.5,2.5,ml,22,48.16,0.01,0.1334,nn,nn00793499,2020-12-19T18:43:18.371Z,"33 km SE of Mina, Nevada",earthquake,,0.7,0.33,12,reviewed,nn,nn
2020-12-19T03:56:31.250Z,44.3766,-115.4535,10,3,ml,,51,0.264,0.77,us,us7000csbi,2020-12-19T16:17:08.730Z,"35 km NNE of Lowman, Idaho",earthquake,1.8,2,0.047,60,reviewed,us,us
2020-12-18T18:57:12.620Z,36.2081667,-117.8928333,1.93,2.85,ml,42,29,0.09548,0.15,ci,ci39497079,2020-12-18T23:24:39.566Z,"13km SE of Olancha, CA",earthquake,0.18,0.36,0.152,26,reviewed,ci,ci
2020-12-18T16:41:35.750Z,31.5108333,-115.7486667,13.83,3.24,ml,5,147,0.1228,0.08,ci,ci39496959,2020-12-19T09:28:58.750Z,"81km ESE of Maneadero, B.C., MX",earthquake,0.85,1.55,0.142,38,reviewed,ci,ci
2020-12-18T16:13:42.360Z,40.4311667,-124.2291667,25.76,3.92,mw,30,87,0.083,0.14,nc,nc73499875,2020-12-22T18:09:35.610Z,"13km NNE of Petrolia, CA",earthquake,0.28,0.53,,3,reviewed,nc,nc
2020-12-18T15:55:24.820Z,36.40366667,-97.82466667,7,2.54,ml,101,37,0,0.22,ok,ok2020yuip,2020-12-19T07:55:48.944Z,"4 km E of Enid, Oklahoma",earthquake,,0.4,0.21,30,reviewed,ok,ok
2020-12-18T15:07:39.630Z,44.3725,-115.458,0.14,2.52,ml,13,95,0.26,0.12,mb,mb80480444,2020-12-18T16:57:40.520Z,"34 km NNE of Lowman, Idaho",earthquake,0.3,1.14,0.241,16,reviewed,mb,mb
2020-12-18T15:01:21.884Z,38.1635,-117.8607,7.8,2.6,ml,30,48.77,0.009,0.1599,nn,nn00793362,2020-12-18T16:45:45.096Z,"33 km SE of Mina, Nevada",earthquake,,0.6,0.26,14,reviewed,nn,nn
2020-12-18T14:41:24.710Z,44.3691,-115.4538,10,2.7,ml,,51,0.256,0.5,us,us7000cs57,2020-12-19T14:22:43.040Z,"34 km NNE of Lowman, Idaho",earthquake,1.7,2,0.048,56,reviewed,us,us
2020-12-18T13:20:00.926Z,44.3646,-115.4829,10,2.7,ml,,96,0.253,0.67,us,us7000cs53,2020-12-19T14:17:13.040Z,"33 km NNE of Lowman, Idaho",earthquake,1.7,2,0.105,12,reviewed,us,us
2020-12-18T11:08:07.646Z,44.3713,-115.4729,10,2.5,ml,,51,0.259,0.39,us,us7000cs3c,2020-12-19T12:58:58.040Z,"34 km NNE of Lowman, Idaho",earthquake,2.1,2,0.06,36,reviewed,us,us
